X10Jun22Order,PythonID,PythonIDType,MassG,Sex,Class,Order,Family,Genus,Species,SciName,CommonName,PreyGroup,PreyMass
1,19,Snow number_EVER,NA,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
2,33,Snow number_EVER,NA,NA,Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,Virginia Opossum,Mesomammal,2195
3,51,Snow number_EVER,NA,m,Mammalia,Carnivora,Procyonidae,Procyon,lotor,Procyon lotor,Raccoon,Mesomammal,5525
4,77,Snow number_EVER,1980,f,Aves,Passeriformes,Troglodytidae,Troglodytes,aedon,Troglodytes aedon,House Wren,Passerine,11
5,84,Snow number_EVER,100,NA,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
6,85,Snow number_EVER,NA,m,Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Agelaius phoeniceus,Red-Winged Blackbird,Passerine,51
7,88,Snow number_EVER,2000,m,Mammalia,Rodentia,Cricetidae,Peromyscus,gossypinus,Peromyscus gossypinus,Cotton Mouse,Small Mammal,29
8,90,Snow number_EVER,7000,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
9,91,Snow number_EVER,12000,f,Mammalia,Carnivora,Procyonidae,Procyon,lotor,Procyon lotor,Raccoon,Mesomammal,5525
10,92,Snow number_EVER,NA,NA,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
11,92,Snow number_EVER,NA,NA,Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,Virginia Opossum,Mesomammal,2195
12,104,Snow number_EVER,6500,f,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
13,107,Snow number_EVER,7191,m,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
14,108,Snow number_EVER,552,m,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
15,111,Snow number_EVER,19250,m,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
16,112,Snow number_EVER,21000,f,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
17,113,Snow number_EVER,9000,f,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,albus,Eudocimus albus,White Ibis,Wading Bird,890
18,114,Snow number_EVER,5500,m,Mammalia,Rodentia,Sciuridae,Sciurus,sp,Sciurus sp,Unidentifiable squirrel,Small Mammal,NA
19,120,Snow number_EVER,12000,f,Aves,Gruiformes,Rallidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Secretive Marsh Bird,NA
20,121,Snow number_EVER,16200,m,Mammalia,Rodentia,Cricetidae,Oryzomys,palustris,Oryzomys palustris,Marsh Rice Rat,Small Mammal,54
21,122,Snow number_EVER,6000,m,Mammalia,Rodentia,Cricetidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Small Mammal,NA
22,123,Snow number_EVER,12300,m,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
23,124,Snow number_EVER,7850,m,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
24,124,Snow number_EVER,7850,m,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
25,125,Snow number_EVER,20000,m,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
26,126,Snow number_EVER,11681,m,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
27,127,Snow number_EVER,20000,f,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
28,128,Snow number_EVER,25750,f,Aves,Suliformes,Anhingidae,Anhinga,anhinga,Anhinga anhinga,Anhinga,Aquatic Bird,1235
29,128,Snow number_EVER,25750,f,Aves,Anseriformes,Anatidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Aquatic Bird,NA
30,129,Snow number_EVER,7250,m,Aves,Gruiformes,Aramidae,Aramus,guarauna,Aramus guarauna,Limpkin,Secretive Marsh Bird,1080
31,131,Snow number_EVER,17341,f,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
32,132,Snow number_EVER,27000,f,Mammalia,Rodentia,Cricetidae,Peromyscus,gossypinus,Peromyscus gossypinus,Cotton Mouse,Small Mammal,29
33,139,Snow number_EVER,6877,m,Mammalia,Rodentia,Sciuridae,Sciurus,sp,Sciurus sp,Unidentifiable squirrel,Small Mammal,NA
34,140,Snow number_EVER,1250,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
35,141,Snow number_EVER,3778,m,Mammalia,Rodentia,Sciuridae,Sciurus,sp,Sciurus sp,Unidentifiable squirrel,Small Mammal,NA
36,142,Snow number_EVER,841,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
37,143,Snow number_EVER,138,f,Mammalia,Rodentia,Cricetidae,Peromyscus,gossypinus,Peromyscus gossypinus,Cotton Mouse,Small Mammal,29
38,149,Snow number_EVER,11495,f,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
39,160,Snow number_EVER,NA,NA,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
40,161,Snow number_EVER,NA,f,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
41,162,Snow number_EVER,NA,NA,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
42,163,Snow number_EVER,8070,f,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Sylvilagus floridanus,Eastern Cottontail,Rabbit,1173
43,163,Snow number_EVER,8070,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
44,163,Snow number_EVER,8070,f,Aves,Gruiformes,Rallidae,Rallus,limicola,Rallus limicola,Virginia Rail,Secretive Marsh Bird,84
45,165,Snow number_EVER,2300,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
46,168,Snow number_EVER,8550,f,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,albus,Eudocimus albus,White Ibis,Wading Bird,890
47,168,Snow number_EVER,8550,f,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,albus,Eudocimus albus,White Ibis,Wading Bird,890
48,168,Snow number_EVER,8550,f,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,albus,Eudocimus albus,White Ibis,Wading Bird,890
49,171,Snow number_EVER,1941,m,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
50,172,Snow number_EVER,29000,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
51,176,Snow number_EVER,38000,f,Mammalia,Carnivora,Procyonidae,Procyon,lotor,Procyon lotor,Raccoon,Mesomammal,5525
52,177,Snow number_EVER,7870,f,Aves,Pelecaniformes,Threskiornithidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Wading Bird,NA
53,178,Snow number_EVER,6053,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
54,182,Snow number_EVER,4703,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
55,183,Snow number_EVER,4586,m,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
56,188,Snow number_EVER,NA,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
57,190,Snow number_EVER,8893,m,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
58,194,Snow number_EVER,NA,NA,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
59,195,Snow number_EVER,19290,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
60,196,Snow number_EVER,13110,m,Aves,Gruiformes,Rallidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Secretive Marsh Bird,NA
61,196,Snow number_EVER,13110,m,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
62,200,Snow number_EVER,5291,f,Mammalia,Rodentia,Sciuridae,Sciurus,sp,Sciurus sp,Unidentifiable squirrel,Small Mammal,NA
63,201,Snow number_EVER,6508,m,Mammalia,Rodentia,Cricetidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Small Mammal,NA
64,202,Snow number_EVER,3450,m,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
65,206,Snow number_EVER,4251,f,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
66,208,Snow number_EVER,NA,NA,Mammalia,Rodentia,Muridae,Rattus,sp,Rattus sp,Unidentifiable rat,Small Mammal,NA
67,209,Snow number_EVER,12940,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
